"Lines","File","EmptyBlocks","Methods","DebugLog"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Behaviors\AUTO018_SupportIntent.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Configuration\AUTO004_PrioritySelection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Configuration\AUTO005_RulesOfEngagement.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Configuration\AUTO006_EngagementRange.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Configuration\AUTO007_AggressionSetting.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Configuration\AUTO008_FormationSetting.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Interface\AUTO001_IntentInterface.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Interface\AUTO002_IntentSelection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Interface\AUTO003_ObjectiveSelection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Status\AUTO019_AutonomyStateIndicator.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Autonomy\Status\AUTO020_AIDecisionStatusDisplay.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDAbilityControls.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDAttack.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDEscort.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDFollow.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDHold.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDMove.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDPatrol.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDRecon.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDRepair.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDResupply.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDRetreat.cs","0","1","1"
"8","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitCommandPanel\HUDStop.cs","0","1","1"
"14","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitControl\HUDSingleUnitSelection.cs","0","2","0"
"14","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitControl\HUDSquadSelection.cs","0","2","0"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Controls\MAP013_CameraDirection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Controls\MAP014_Zoom.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Controls\MAP015_MinimapFilters.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Core\MAP001_MinimapFrame.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Core\MAP002_Terrain.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Core\MAP012_CameraPosition.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Entities\MAP003_FriendlyUnits.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Entities\MAP004_EnemyUnits.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Entities\MAP005_UnknownContacts.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Entities\MAP006_SquadMarkers.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Entities\MAP008_ResourceLocations.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Entities\MAP009_Structures.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Markers\MAP007_ObjectiveMarkers.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Markers\MAP010_TacticalMarkers.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Minimap\Markers\MAP011_Waypoints.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Core\MAP031_StrategicMap.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Core\MAP033_Regions.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Forces\MAP034_Bases.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Forces\MAP035_Armies.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Forces\MAP036_FrontLines.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Forces\MAP040_StrategicObjectives.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Intelligence\MAP039_EnemyActivity.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Intelligence\MAP042_IntelligenceLayer.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Logistics\MAP037_Logistics.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Logistics\MAP038_Resources.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Logistics\MAP041_StrategicRoutes.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\StrategicMap\Territory\MAP032_TerritoryControl.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Core\MAP016_TacticalMapWindow.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Core\MAP017_FullBattlefieldView.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Filters\MAP018_UnitFiltering.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Filters\MAP019_SquadFiltering.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Filters\MAP020_EnemyFiltering.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Filters\MAP021_IntelligenceFiltering.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Filters\MAP022_LogisticsFiltering.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Filters\MAP023_ResourceFiltering.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Filters\MAP024_ObjectiveFiltering.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Intelligence\MAP025_ThreatOverlay.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Intelligence\MAP026_SensorCoverage.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Overlays\MAP027_MovementRoutes.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Overlays\MAP028_AttackRoutes.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Overlays\MAP029_DefensiveZones.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\TacticalMap\Overlays\MAP030_ReconZones.cs","0","1","1"
"17","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Input\UIInputManager.cs","0","1","0"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP001_MultiplayerHome.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP002_Play.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP003_CreateMatch.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP004_JoinMatch.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP005_ServerBrowser.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP006_MatchType.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP007_MapSelection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP008_PlayerCount.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP009_TeamSelection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP010_FactionSelection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP011_MatchSettings.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP012_DeploymentBudget.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP013_ReadyState.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP014_PlayerList.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP015_TeamList.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP016_MatchCountdown.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Home\MP017_LoadingScreen.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Match\MP018_PlayerStatus.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Match\MP019_TeamStatus.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Match\MP020_TeamObjectives.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Match\MP021_TeamResources.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Match\MP022_TeamDeployment.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Multiplayer\Match\MP023_Score.cs","0","1","1"
